k,seed,split,auroc,f1,accuracy,precision,recall,loss
8,14,test,0.659421,0.639420,0.616947,0.606250,0.676430,0.650229
8,14,ood,0.390218,0.448718,0.441000,0.442607,0.455000,0.727826
8,15,test,0.656798,0.610309,0.602941,0.601626,0.619247,0.653237
8,15,ood,0.750870,0.668794,0.505267,0.502650,0.999000,0.752704
8,16,test,0.649936,0.652473,0.611345,0.592045,0.726639,0.653001
8,16,ood,0.402996,0.629785,0.478700,0.488272,0.886800,0.749708
8,17,test,0.598297,0.673491,0.575630,0.548727,0.871688,0.675062
8,17,ood,0.289818,0.600942,0.482967,0.489296,0.778600,0.715068
8,18,test,0.591552,0.618778,0.576331,0.564368,0.684798,0.684023
8,18,ood,0.845351,0.838977,0.827867,0.788108,0.896867,0.659689
8,19,test,0.659883,0.659407,0.605742,0.582265,0.760112,0.652283
8,19,ood,0.809586,0.650728,0.493067,0.496356,0.944467,0.647598
8,2,test,0.643042,0.597330,0.598739,0.601983,0.592748,0.674749
8,2,ood,0.821628,0.829292,0.811800,0.758770,0.914267,0.568873
8,20,test,0.659240,0.678828,0.593137,0.562271,0.856346,0.660056
8,20,ood,0.460425,0.666889,0.500733,0.500367,0.999533,0.757381
8,3,test,0.653522,0.655000,0.613445,0.593431,0.730823,0.655786
8,3,ood,0.467710,0.589208,0.493467,0.495544,0.726533,0.738487
8,4,test,0.616985,0.661723,0.584734,0.559846,0.808926,0.667197
8,4,ood,0.446708,0.618735,0.508600,0.505451,0.797467,0.710688
8,5,test,0.654220,0.593862,0.601541,0.608187,0.580195,0.653514
8,5,ood,0.368342,0.588014,0.489000,0.492571,0.729333,0.737295
8,6,test,0.647906,0.600139,0.595938,0.596419,0.603905,0.655090
8,6,ood,0.683152,0.616150,0.503733,0.502354,0.796600,0.671493
8,7,test,0.653608,0.639752,0.593838,0.576708,0.718271,0.664194
8,7,ood,0.674606,0.639516,0.488100,0.493533,0.908133,0.805029
8,8,test,0.616765,0.531394,0.571429,0.589134,0.483961,0.671278
8,8,ood,0.889532,0.806361,0.786900,0.738884,0.887400,0.569047
8,9,test,0.651400,0.628088,0.599440,0.588307,0.673640,0.668510
8,9,ood,0.562968,0.665777,0.499300,0.499649,0.997400,0.881961
9,1,test,0.638094,0.575960,0.589661,0.597920,0.555556,0.669107
9,1,ood,0.804134,0.800697,0.763533,0.691949,0.950000,0.619112
9,10,test,0.628570,0.634286,0.586430,0.569961,0.714976,0.675490
9,10,ood,0.930928,0.666252,0.499667,0.499833,0.998800,0.643325
9,11,test,0.637530,0.624709,0.609855,0.603604,0.647343,0.668121
9,11,ood,0.741586,0.663632,0.499900,0.499949,0.986667,0.736099
9,12,test,0.663806,0.618856,0.617932,0.619355,0.618357,0.675871
9,12,ood,0.633006,0.666756,0.500400,0.500200,0.999600,1.070889
9,13,test,0.586196,0.646135,0.545234,0.529897,0.827697,0.684995
9,13,ood,0.795323,0.814713,0.815967,0.820301,0.809200,0.656983
9,14,test,0.642481,0.626844,0.591276,0.578231,0.684380,0.661757
9,14,ood,0.909119,0.667812,0.503533,0.501776,0.998067,0.629973
9,15,test,0.662475,0.582389,0.613086,0.634981,0.537842,0.678531
9,15,ood,0.473550,0.642830,0.490533,0.494891,0.916933,0.800854
9,16,test,0.634454,0.646974,0.604200,0.585398,0.723027,0.665830
9,16,ood,0.666951,0.663683,0.499067,0.499528,0.988533,0.710698
9,17,test,0.628565,0.639010,0.599354,0.583001,0.706924,0.681928
9,17,ood,0.795012,0.853259,0.830533,0.752367,0.985400,0.532261
9,18,test,0.647948,0.587156,0.600162,0.608997,0.566828,0.669212
9,18,ood,0.381282,0.664070,0.505600,0.502881,0.977333,0.881971
9,19,test,0.656983,0.567401,0.603393,0.626459,0.518519,0.667768
9,19,ood,0.391942,0.628618,0.465767,0.481762,0.904267,0.819082
9,2,test,0.645020,0.556131,0.584814,0.599628,0.518519,0.673333
9,2,ood,0.836322,0.680149,0.744833,0.911116,0.542600,0.583129
9,20,test,0.642593,0.606156,0.596931,0.594427,0.618357,0.666265
9,20,ood,0.885342,0.839131,0.815933,0.745214,0.960133,0.464277
9,3,test,0.608928,0.647099,0.582391,0.561611,0.763285,0.692086
9,3,ood,0.858545,0.658642,0.718300,0.835605,0.543533,0.586111
9,4,test,0.667639,0.661665,0.635703,0.619382,0.710145,0.683013
9,4,ood,0.650665,0.666667,0.500000,0.500000,1.000000,1.180525
9,5,test,0.606122,0.581649,0.565428,0.562406,0.602254,0.670086
9,5,ood,0.281159,0.285820,0.291033,0.287937,0.283733,0.729239
9,6,test,0.628437,0.632727,0.592084,0.576923,0.700483,0.685673
9,6,ood,0.524736,0.664191,0.499700,0.499848,0.989533,0.824391
9,7,test,0.641090,0.597531,0.605008,0.611111,0.584541,0.696494
9,7,ood,0.868653,0.852500,0.829367,0.750723,0.986200,0.434535
9,8,test,0.626944,0.577049,0.583199,0.587646,0.566828,0.666101
9,8,ood,0.642637,0.595592,0.437333,0.464847,0.828667,0.717237
9,9,test,0.628951,0.618263,0.588045,0.577622,0.665056,0.682173
9,9,ood,0.256754,0.657922,0.493200,0.496536,0.974733,0.880740
10,1,test,0.617915,0.638842,0.591128,0.561377,0.741107,0.673912
10,1,ood,0.645067,0.576016,0.573967,0.573259,0.578800,0.668759
10,10,test,0.611122,0.560000,0.575699,0.566802,0.553360,0.674752
10,10,ood,0.632241,0.685863,0.741800,0.875544,0.563733,0.658009
10,11,test,0.639170,0.658228,0.583414,0.548813,0.822134,0.677322
